File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/499.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	2 mL Std
Injection Number	2
Position	2
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:31:34 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.103452
Signal Max.	17.491462
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.096000	0.010	-0.056866
0.096167	0.010	-0.052904
0.096333	0.010	-0.025514
0.096500	0.010	-0.045561
0.096667	0.010	-0.021160
0.096833	0.010	-0.048527
0.097000	0.010	-0.061489
0.097167	0.010	-0.054691
0.097333	0.010	-0.036452
0.097500	0.010	-0.034718
0.097667	0.010	-0.027860
0.097833	0.010	-0.021537
0.098000	0.010	-0.032381
0.098167	0.010	-0.023413
0.098333	0.010	-0.011807
0.098500	0.010	-0.020842
0.098667	0.010	-0.033059
0.098833	0.010	-0.043493
0.099000	0.010	-0.052483
0.099167	0.010	-0.062095
0.099333	0.010	-0.057983
0.099500	0.010	-0.050180
0.099667	0.010	-0.020988
0.099833	0.010	-0.024699
0.100000	0.010	-0.014103
0.100167	0.010	-0.019078
0.100333	0.010	-0.041562
0.100500	0.010	-0.065191
0.100667	0.010	-0.058393
0.100833	0.010	-0.063104
0.101000	0.010	-0.033555
0.101167	0.010	-0.056810
0.101333	0.010	-0.022220
0.101500	0.010	-0.027686
0.101667	0.010	-0.030062
0.101833	0.010	-0.021869
0.102000	0.010	-0.027134
0.102167	0.010	-0.016318
0.102333	0.010	-0.027883
0.102500	0.010	-0.037143
0.102667	0.010	-0.028466
0.102833	0.010	-0.021668
0.103000	0.010	-0.016483
0.103167	0.010	-0.045869
0.103333	0.010	-0.023127
0.103500	0.010	0.004539
0.103667	0.010	-0.015255
0.103833	0.010	-0.022833
0.104000	0.010	-0.042971
0.104167	0.010	-0.058897
0.104333	0.010	-0.034312
0.104500	0.010	-0.052504
0.104667	0.010	-0.013618
0.104833	0.010	-0.064098
0.105000	0.010	-0.052080
0.105167	0.010	-0.044228
0.105333	0.010	-0.045984
0.105500	0.010	-0.037792
0.105667	0.010	-0.014580
0.105833	0.010	-0.046469
0.106000	0.010	-0.036088
