File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/741.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run2
Injection Number	8
Position	9
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:34:22 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.504593
Signal Max.	93.160667
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.094667	0.010	-1.255789
0.094833	0.010	-1.276532
0.095000	0.010	-1.259755
0.095167	0.010	-1.249993
0.095333	0.010	-1.245322
0.095500	0.010	-1.265882
0.095667	0.010	-1.256053
0.095833	0.010	-1.263595
0.096000	0.010	-1.234363
0.096167	0.010	-1.272774
0.096333	0.010	-1.278662
0.096500	0.010	-1.280254
0.096667	0.010	-1.282683
0.096833	0.010	-1.259225
0.097000	0.010	-1.244355
0.097167	0.010	-1.309780
0.097333	0.010	-1.310724
0.097500	0.010	-1.305190
0.097667	0.010	-1.303869
0.097833	0.010	-1.292019
0.098000	0.010	-1.296250
0.098167	0.010	-1.259020
0.098333	0.010	-1.274265
0.098500	0.010	-1.269772
0.098667	0.010	-1.267780
0.098833	0.010	-1.279693
0.099000	0.010	-1.253289
0.099167	0.010	-1.260812
0.099333	0.010	-1.252229
0.099500	0.010	-1.259502
0.099667	0.010	-1.276984
0.099833	0.010	-1.253194
0.100000	0.010	-1.246175
0.100167	0.010	-1.245018
0.100333	0.010	-1.262352
0.100500	0.010	-1.268997
0.100667	0.010	-1.283005
0.100833	0.010	-1.253529
0.101000	0.010	-1.244622
0.101167	0.010	-1.251754
0.101333	0.010	-1.255781
0.101500	0.010	-1.253245
0.101667	0.010	-1.229170
0.101833	0.010	-1.241680
0.102000	0.010	-1.261321
0.102167	0.010	-1.281211
0.102333	0.010	-1.271287
0.102500	0.010	-1.300097
0.102667	0.010	-1.262234
0.102833	0.010	-1.253307
0.103000	0.010	-1.263866
0.103167	0.010	-1.253556
0.103333	0.010	-1.264901
0.103500	0.010	-1.259796
0.103667	0.010	-1.281358
0.103833	0.010	-1.284666
0.104000	0.010	-1.282903
0.104167	0.010	-1.253990
0.104333	0.010	-1.238721
0.104500	0.010	-1.236566
0.104667	0.010	-1.281649
0.104833	0.010	-1.258503
0.105000	0.010	-1.265352
0.105167	0.010	-1.237058
0.105333	0.010	-1.251132
0.105500	0.010	-1.265546
0.105667	0.010	-1.266061
0.105833	0.010	-1.243118
0.106000	0.010	-1.227395
0.106167	0.010	-1.220523
0.106333	0.010	-1.230972
0.106500	0.010	-1.229411
0.106667	0.010	-1.250161
0.106833	0.010	-1.260956
0.107000	0.010	-1.251131
0.107167	0.010	-1.248520
0.107333	0.010	-1.267808
0.107500	0.010	-1.285114
0.107667	0.010	-1.265954
0.107833	0.010	-1.261679
0.108000	0.010	-1.276231
0.108167	0.010	-1.269738
0.108333	0.010	-1.295099
0.108500	0.010	-1.257514
0.108667	0.010	-1.278746
0.108833	0.010	-1.287973
0.109000	0.010	-1.310510
0.109167	0.010	-1.265794
0.109333	0.010	-1.264236
0.109500	0.010	-1.247460
0.109667	0.010	-1.284528
0.109833	0.010	-1.250411
0.110000	0.010	-1.252532
0.110167	0.010	-1.250368
0.110333	0.010	-1.256682
0.110500	0.010	-1.253481
0.110667	0.010	-1.246838
0.110833	0.010	-1.232254
0.111000	0.010	-1.252168
0.111167	0.010	-1.242137
0.111333	0.010	-1.271292
0.111500	0.010	-1.289059
0.111667	0.010	-1.307977
0.111833	0.010	-1.276124
0.112000	0.010	-1.246331
0.112167	0.010	-1.289290
0.112333	0.010	-1.290047
0.112500	0.010	-1.278944
0.112667	0.010	-1.285238
0.112833	0.010	-1.279636
0.113000	0.010	-1.287433
0.113167	0.010	-1.311517
0.113333	0.010	-1.253762
0.113500	0.010	-1.264493
0.113667	0.010	-1.257842
0.113833	0.010	-1.287303
0.114000	0.010	-1.279606
0.114167	0.010	-1.252402
0.114333	0.010	-1.285827
0.114500	0.010	-1.298733
0.114667	0.010	-1.265850
0.114833	0.010	-1.254146
0.115000	0.010	-1.273768
0.115167	0.010	-1.255771
0.115333	0.010	-1.269339
0.115500	0.010	-1.257899
0.115667	0.010	-1.250963
0.115833	0.010	-1.279218
0.116000	0.010	-1.284166
0.116167	0.010	-1.285155
0.116333	0.010	-1.285780
0.116500	0.010	-1.271418
0.116667	0.010	-1.269189
0.116833	0.010	-1.266716
0.117000	0.010	-1.286456
0.117167	0.010	-1.294028
0.117333	0.010	-1.285155
0.117500	0.010	-1.308215
0.117667	0.010	-1.282672
0.117833	0.010	-1.298015
0.118000	0.010	-1.294571
0.118167	0.010	-1.294001
0.118333	0.010	-1.275108
0.118500	0.010	-1.273809
0.118667	0.010	-1.276759
0.118833	0.010	-1.274565
0.119000	0.010	-1.264230
0.119167	0.010	-1.290314
0.119333	0.010	-1.293733
0.119500	0.010	-1.302091
0.119667	0.010	-1.296264
0.119833	0.010	-1.279332
0.120000	0.010	-1.269465
0.120167	0.010	-1.272625
