File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/652.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run1
Injection Number	7
Position	8
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:23:16 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.471875
Signal Max.	92.659279
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.089667	0.010	-0.763359
0.089833	0.010	-0.730771
0.090000	0.010	-0.692020
0.090167	0.010	-0.707716
0.090333	0.010	-0.720379
0.090500	0.010	-0.715384
0.090667	0.010	-0.716761
0.090833	0.010	-0.749968
0.091000	0.010	-0.744879
0.091167	0.010	-0.732242
0.091333	0.010	-0.712849
0.091500	0.010	-0.696767
0.091667	0.010	-0.695065
0.091833	0.010	-0.713957
0.092000	0.010	-0.730708
0.092167	0.010	-0.761019
0.092333	0.010	-0.728238
0.092500	0.010	-0.725786
0.092667	0.010	-0.733483
0.092833	0.010	-0.723961
0.093000	0.010	-0.721487
0.093167	0.010	-0.723924
0.093333	0.010	-0.686383
0.093500	0.010	-0.691328
0.093667	0.010	-0.710263
0.093833	0.010	-0.747181
0.094000	0.010	-0.738418
0.094167	0.010	-0.730358
0.094333	0.010	-0.739869
0.094500	0.010	-0.746480
0.094667	0.010	-0.743326
0.094833	0.010	-0.743620
0.095000	0.010	-0.764154
0.095167	0.010	-0.754483
0.095333	0.010	-0.736305
0.095500	0.010	-0.720159
