country_name,respid,gender,age,education,corganizedae
liberia,2020163,F,36,2,1
liberia,2028114,M,23,6,1
liberia,2028192,F,28,3,1
liberia,2028111,M,35,2,1
liberia,2028191,F,22,3,0
liberia,2028112,F,60,6,1
liberia,2028193,F,28,6,1
liberia,2028162,F,23,3,1
liberia,2028133,F,20,2,1
liberia,2028132,M,21,5,1
liberia,2028154,F,46,3,1
liberia,2028134,F,50,5,1
liberia,2029104,F,34,7,1
liberia,2029185,M,46,6,1
liberia,2029201,M,40,7,1
liberia,2029203,F,36,6,97
liberia,2029205,M,56,7,1
liberia,2029106,F,28,7,1
liberia,2029101,F,22,6,97
liberia,2029202,F,45,0,1
liberia,2029182,F,20,6,1
liberia,2029204,M,37,6,97
liberia,2029187,F,56,0,1
liberia,2029186,F,23,5,1
liberia,2029188,M,44,5,1
liberia,2029206,M,31,6,1
liberia,2029102,M,37,6,1
liberia,2029181,M,31,7,1
liberia,2029184,F,31,6,1
liberia,2029103,F,43,7,1
liberia,2029105,M,21,5,1
liberia,2030111,F,23,7,97
liberia,2030213,M,39,6,1
liberia,2039177,M,70,0,1
liberia,2030161,M,35,6,1
liberia,2030116,F,37,0,97
liberia,2030211,F,29,7,1
liberia,2030171,F,42,6,97
liberia,2030151,F,34,0,1
liberia,2030114,F,28,6,1
liberia,2030155,M,21,5,1
liberia,2030192,F,40,8,1
liberia,2030162,M,29,5,1
liberia,2030112,F,20,5,97
liberia,2030132,F,35,2,1
liberia,2030153,M,27,8,1
liberia,2030154,F,72,3,1
liberia,2030212,F,49,3,1
liberia,2030152,M,24,5,1
liberia,2030131,M,40,7,1
liberia,2030191,M,41,6,1
liberia,2030113,F,26,2,1
liberia,2030115,M,45,5,1
liberia,2031211,F,58,6,0
liberia,2031164,M,56,8,1
liberia,2031134,F,29,6,1
liberia,2031192,M,20,5,1
liberia,2031151,F,22,7,1
liberia,2031112,M,28,7,1
liberia,2031161,F,24,5,1
liberia,2031163,M,31,88,1
liberia,2031212,F,32,2,1
liberia,2031153,M,25,2,1
liberia,2031113,F,30,7,1
liberia,2031133,F,32,3,1
liberia,2031191,M,43,0,1
